VerseID,VerseRefID
1,2053
1,2422
1,23047
1,15328
1,26046
1,19203
1,15380
1,16842
1,27416
1,30174
1,30928
1,15467
1,19733
1,29467
1,18675
1,18563
1,29253
1,20214
1,18899
1,30770
1,17525
1,16174
1,15832
1,16104
1,14368
1,16083
1,29965
1,16373
1,15573
1,18535
1,23461
1,14014
1,29997
1,27024
1,18422
1,28529
1,13795
1,10822
1,27932
1,15523
1,31055
1,30524
1,18482
1,27525
1,16198
1,16457
1,30863
1,30542
1,30748
1,28211
1,12513
1,18354
1,16343
1,13469
1,31082
1,24719
1,16604
1,19029
1,22701
1,26525
1,29306
1,15480
1,29790
1,18823
1,23347
1,26122
1,28861
1,30552
1,15871
1,13738
1,17515
1,17335
1,28412
1,29623
1,185
1,15050
1,14170
1,19777
1,13771
1,16396
1,161
1,107
1,22533
1,14243
1,19060
1,15456
1,17317
1,5760
1,14862
1,25148
1,23318
1,23194
1,32
1,16353
1,13506
1,23284
1,13941
1,24325
1,19359
1,30321
1,30046
1,18742
1,18845
1,23541
1,29190
1,28958
1,26951
1,30842
1,12906
1,23959
1,207
1,22313
1,13463
1,5006
1,22425
1,21250
1,15900
1,21657
1,30829
1,15219
1,25937
1,30795
1,19693
1,25828
1,22483
1,23171
1,22345
1,23674
1,17908
1,13590
1,22770
1,28720
1,18097
1,30956
1,6066
1,24131
1,27364
1,8846
1,1712
1,13010
1,139
1,1534
1,23491
1,22550
1,16658
1,16128
1,13924
1,15701
1,16307
1,832
1,13866
1,3526
1,1013
1,13836
1,14670
1,13130
1,19598
1,30626
1,268
1,18887
1,16387
1,29979
1,26212
1,17431
1,26670
1,12953
1,28602
1,28843
1,17771
1,57
1,29274
1,15510
1,13722
1,29519
1,23105
1,23764
1,24590
1,16241
1,18507
1,29231
1,14937
1,962
1,11079
1,694
1,399
1,29749
1,1475
1,593
1,16123
1,10387
1,549
1,22107
1,16322
1,18281
1,15795
1,20356
32,12513
32,14368
32,10063
32,16343
32,19155
32,18563
32,30016
32,19203
32,27118
32,24975
32,5006
32,18899
32,2422
32,18742
32,18482
32,1
32,10121
32,16198
32,2053
32,27024
32,18616
32,5366
32,15328
32,18305
32,13130
32,23047
32,15573
32,18422
32,11213
32,2146
32,18788
32,5055
32,26212
32,3404
32,16658
32,3471
32,12673
32,20897
32,1949
32,24262
32,2498
32,25937
32,2533
32,19359
32,18755
32,14120
32,660
32,268
32,30699
32,107
32,30874
32,1657
32,18535
32,9343
32,30956
32,15380
32,1042
32,11589
32,13795
32,15286
32,236
32,1922
32,23236
32,12953
32,19295
32,81
32,14862
32,16177
32,57
32,30046
32,28157
32,30214
32,13652
32,13483
32,4556
32,28861
32,28879
32,18887
32,17361
32,17687
32,26869
32,161
32,12932
32,15551
32,15510
32,28720
32,16956
32,17525
32,27525
32,4196
32,16241
32,21232
32,320
32,22313
32,21123
32,21159
32,18675
32,31082
32,28529
32,16457
32,5088
32,26259
32,30719
32,21681
32,16690
32,18601
32,14616
32,7562
32,2295
32,13506
32,2666
32,4026
32,17886
32,30842
32,4894
32,5210
32,22017
32,362
32,29274
32,16128
32,13590
32,29790
32,29749
32,30268
32,21282
32,29231
32,20851
32,5710
32,4491
32,30626
32,29496
32,28118
32,7732
32,29104
32,7510
32,28049
32,8772
32,29306
32,29765
32,31040
32,31055
32,28070
32,5587
32,7789
32,497
32,19574
32,27932
32,28093
32,20504
32,16903
32,29718
32,28489
32,17383
32,30426
32,28602
32,7174
32,14014
32,139
32,207
32,7907
32,16927
32,21963
32,30243
32,16123
32,8134
32,797
32,6756
32,8513
32,6462
32,17286
32,5188
32,875
32,27309
32,3371
32,593
32,23764
32,16721
32,23105
32,24590
32,14599
32,28469
32,25303
32,18725
32,2440
32,24502
32,19091
32,14333
32,20764
32,14253
32,28190
57,23211
57,23419
57,28991
57,31040
57,30426
57,17383
57,30893
57,4377
57,18153
57,14781
57,29496
57,12893
57,32
57,10822
57,13299
57,12871
57,497
57,28489
57,28900
57,2028
57,26383
57,9535
57,29718
57,9729
57,5681
57,28826
57,14043
57,21907
57,17930
57,30910
57,29663
57,11877
57,27339
57,28861
57,23284
57,21839
57,20710
57,21159
57,21185
57,19620
57,2053
57,1634
57,19295
57,27825
57,14068
57,9482
57,21058
57,6951
57,139
57,30552
57,30268
57,23236
57,8261
57,1151
57,22169
57,13590
57,5978
57,28049
57,13053
57,18802
57,18166
57,25622
57,5613
57,9676
57,13795
57,22533
57,19486
57,13391
57,16241
57,16809
57,5055
57,30016
57,27964
57,5006
57,5502
57,22497
57,13685
57,268
57,81
57,383
57,426
57,13421
57,30748
57,1581
57,18767
57,2440
57,30581
57,30956
57,18601
57,15900
57,18281
57,14670
57,27993
57,16927
57,28190
57,25365
57,17198
57,7562
57,8288
57,8083
57,7487
57,1326
57,26787
57,207
57,18899
57,15002
57,3320
57,2079
57,22666
57,18195
57,23146
57,27901
57,26582
57,21990
57,23920
57,18713
57,23491
57,29979
57,1475
57,23541
57,30032
57,29133
57,28338
57,24895
57,23194
57,27364
57,22635
57,16153
57,17784
57,4342
57,26670
57,29274
57,19693
57,30719
57,30948
57,30626
57,24875
57,25866
57,4650
57,12704
57,18132
57,7299
57,17908
57,1013
57,28680
57,19029
57,19268
57,20129
57,14636
57,22622
57,19456
57,19091
57,29910
57,26728
57,29519
57,28602
57,29306
57,18037
57,29623
57,17317
57,15380
57,28118
57,17335
57,24010
57,12953
57,13183
57,16123
57,18097
57,13357
57,23874
57,107
57,19121
57,17399
57,25733
57,6462
57,15573
57,28282
57,19251
57,17081
57,18261
57,17741
57,17017
57,30046
57,17525
57,29680
57,16986
57,573
57,13262
57,14206
57,15551
57,28720
57,22083
57,17361
57,29572
57,797
57,7214
57,1556
57,27525
57,18845
57,28879
57,26259
57,1
57,31082
57,18006
57,16457
57,15200
57,20635
57,10936
57,2197
57,5936
57,30135
57,29965
57,8898
57,15501
81,30581
81,4666
81,107
81,57
81,16123
81,832
81,22466
81,1388
81,1085
81,15115
81,207
81,26383
81,1581
81,1422
81,25407
81,4259
81,2764
81,12673
81,9319
81,2780
81,30174
81,362
81,30107
81,11326
81,10936
81,30376
81,2955
81,30910
81,14184
81,16457
81,1869
81,4196
81,9343
81,6656
81,17709
81,875
81,23794
81,27364
81,25590
81,12953
81,10762
81,18967
81,26158
81,17656
81,22650
81,29765
81,16986
81,28305
81,28282
81,28247
81,30268
81,16903
81,4720
81,29208
81,13534
81,27261
81,23091
81,459
81,13924
81,8694
81,19091
81,28093
81,27964
81,17460
81,9729
81,30401
81,28070
81,23920
81,17143
81,25866
81,8358
81,12403
81,8083
81,13110
81,30214
81,30674
81,8319
81,8556
81,16241
81,14734
81,14243
81,22666
81,14440
81,27061
81,14023
81,13391
81,14043
81,17198
81,14670
81,426
81,4847
81,13590
81,17741
81,30356
81,30795
81,5978
81,15002
81,9758
81,13240
81,13438
81,5681
81,29104
81,18132
81,5587
81,5613
81,30893
81,19424
81,3526
81,28118
81,15757
81,22210
81,30956
81,13205
81,16295
81,22268
81,29651
81,4246
81,24010
81,13357
81,16774
81,20278
81,14693
81,17809
81,30928
81,14792
81,20624
81,9285
